ID,DATE,TIME,TIME_OF_DAY,NETWORK,HEADLINE,SENTIMENT_LABEL,SENTIMENT_SCORE,EMOTION_SADNESS,EMOTION_FEAR,EMOTION_ANGER,EMOTION_DISGUST,EMOTION_JOY,PUTIN,TRUMP,TRUDEAU
0,2017-07-20,18:00:01,Evening,RT,‘It takes 2 to tango’: Germany threatens Turkey with major policy overhaul                                                                     ,negative,-0.358042,0.068436,0.267773,0.132166,0.054634,0.018692,0,0,0
1,2017-07-20,18:00:01,Evening,RT,Russia in talks with US to create cybersecurity working group – Putin envoy                                                                    ,neutral,0.0,0.267885,0.139988,0.076515,0.073816,0.222307,1,0,0
2,2017-07-20,18:00:01,Evening,RT,Thousands of extra IDF troops put on call in West Bank amid Temple Mount tensions                                                                    ,negative,-0.580055,0.233039,0.051518,0.505275,0.098248,0.095055,0,0,0
3,2017-07-20,18:00:01,Evening,RT,Turkish govt not behind publication of US base locations in Syria – official                                                                    ,neutral,0.0,0.104674,0.067367,0.054659,0.111264,0.029422,0,0,0
4,2017-07-20,18:00:01,Evening,RT,Size matters? Framing of Macron’s extra-large official portrait ‘could cost €2.7mn’                                                                    ,positive,0.744446,0.060318,0.029818,0.108794,0.048888,0.234951,0,0,0
5,2017-07-20,18:00:01,Evening,WT,"Senate confirms John Bush, Trump’s 6th Circuit Court pick",neutral,0.0,0.152621,0.088116,0.074688,0.265068,0.040339,0,1,0
6,2017-07-20,18:00:01,Evening,WT,CBO score for revised GOP health plan shows minimal change; 22 million would still be uninsured,negative,-0.653906,0.211225,0.174561,0.020692,0.061785,0.533987,0,0,0
7,2017-07-20,18:00:01,Evening,WT,Senate GOP reaches for way forward on repealing Obamacare,negative,-0.831933,0.184154,0.044671,0.097504,0.09718,0.033342,0,0,0
8,2017-07-20,18:00:01,Evening,WT,John McCain tweets he’ll ‘be back soon’ to Senate after brain cancer diagnosis ,negative,-0.637716,0.525069,0.193783,0.117725,0.290871,0.037288,0,0,0
9,2017-07-20,18:00:01,Evening,WT,Mueller widens scope of investigation to include Trump business dealings with Russia: Report,positive,0.780702,0.079998,0.040005,0.054133,0.060275,0.04587,0,1,0
10,2017-07-20,18:00:01,Evening,WT,Jeff Sessions staying put as attorney general — for now,neutral,0.0,0.215982,0.089515,0.26528,0.155632,0.141886,0,0,0
11,2017-07-20,18:00:01,Evening,WT,Steve King says firing Sessions would be a mistake for Trump ,negative,-0.345364,0.55394,0.091417,0.257801,0.174581,0.065555,0,1,0
12,2017-07-20,18:00:01,Evening,WT,"Drop insurance bailout from GOP health care bill, Sen. Paul urges",negative,-0.849032,0.245202,0.054546,0.327761,0.218016,0.048171,0,0,0
13,2017-07-20,18:00:01,Evening,WT,"Health-care reform unlikely to move forward with McCain sidelined, Sen. Lee says",negative,-0.856324,0.151842,0.025664,0.025884,0.012984,0.692941,0,0,0
14,2017-07-20,18:00:01,Evening,WT,"Christopher Wray, Trump’s new FBI director pick, moves a step closer to confirmation",positive,0.495546,0.207114,0.10955,0.092964,0.24515,0.177039,0,1,0
15,2017-07-20,18:00:01,Evening,WT,Elizabeth Warren gives Trump an ‘F’ for draining the swamp,neutral,0.0,0.629876,0.11719,0.150869,0.118621,0.064484,0,1,0
16,2017-07-20,18:00:01,Evening,WT,Mick Mulvaney: CBO score uses Obamacare architect’s standards ,neutral,0.0,0.112673,0.065764,0.042666,0.040657,0.291768,0,0,0
17,2017-07-20,18:00:01,Evening,WT,Majority of Americans want a bipartisan health care bill passed: Poll,neutral,0.0,0.239564,0.009214,0.06462,0.244857,0.043717,0,0,0
18,2017-07-20,18:00:01,Evening,WT,John McCain diagnosed with brain cancer,negative,-0.743345,0.700574,0.184545,0.058367,0.148083,0.004968,0,0,0
19,2017-07-20,18:00:01,Evening,WT,"Trump Jr., Manafort, Kushner to testify before lawmakers next week",negative,-0.355524,0.02682,0.115682,0.041353,0.096366,0.126898,0,0,0
20,2017-07-20,18:00:01,Evening,CBC,Julie Payette's vetting for governor general questioned amid 'disquieting' revelations,neutral,0.0,0.398475,0.16035,0.13105,0.17952,0.075084,0,0,0
21,2017-07-20,18:00:01,Evening,CBC,"Far-right Quebec group linked to vote against Muslim cemetery, says writer",neutral,0.0,0.114048,0.040455,0.35995,0.491233,0.184305,0,0,0
22,2017-07-20,18:00:01,Evening,CBC,Canada's high court to hear B.C. appeal in battle against big tobacco,negative,-0.624822,0.317617,0.239605,0.137037,0.136289,0.052147,0,0,0
23,2017-07-20,18:00:01,Evening,CBC,Midweek podcast: Morneau closing the loop and B.C. (finally) gets a premier,neutral,0.0,0.265203,0.025937,0.024462,0.002251,0.657765,0,0,0
24,2017-07-20,18:00:01,Evening,CBC,Trump's 'influential' pick for ambassador to Canada faces Senate hearing,neutral,0.0,0.19747,0.108106,0.093579,0.443529,0.039305,0,1,0
25,2017-07-20,18:00:01,Evening,CBC,Deadline for decision on Canada Post home delivery missed as Liberals ponder way forward,negative,-0.817591,0.396236,0.191533,0.103462,0.073092,0.020691,0,0,0
26,2017-07-20,18:00:01,Evening,CBC,Trudeau's silence on Payette's expunged assault charge shows double standard: Robyn Urback,negative,-0.587314,0.240185,0.105088,0.157111,0.652615,0.008499,0,0,1
27,2017-07-20,18:00:01,Evening,CBC,Premiers ask for pot legalization delay if federal government can't resolve key concerns,negative,-0.765299,0.310686,0.086028,0.230979,0.076616,0.003508,0,0,0
28,2017-07-20,18:00:01,Evening,CBC,NAFTA talks: Trump administration announces Aug. 16 start date in D.C.,neutral,0.0,0.236808,0.073528,0.102368,0.103356,0.185719,0,1,0
29,2017-07-20,18:00:01,Evening,CBC,Governor General breaches royal protocol by touching Queen to avoid her stumbling on 'slippy' carpet,negative,-0.320181,0.135094,0.195234,0.10503,0.206361,0.104352,0,0,0
30,2017-07-20,18:00:01,Evening,CBC,"Watch Power & Politics for July 19, 2017",neutral,0.0,0.501142,0.044394,0.112832,0.1756,0.145223,0,0,0
31,2017-07-20,18:00:01,Evening,CBC,Health trouble brought on by mould exposure ends sailor's career,neutral,0.0,0.180829,0.139996,0.181365,0.086777,0.425415,0,0,0
32,2017-07-20,18:00:01,Evening,CBC,Ottawa hires consultants to advise on airport sell-offs,neutral,0.0,0.033459,0.040474,0.111738,0.055638,0.009949,0,0,0
33,2017-07-20,18:00:01,Evening,CBC,"Government inaction to blame for unequal access to criminal pardons, lawyers claim",negative,-0.915273,0.285406,0.04427,0.323019,0.543489,0.001586,0,0,0
34,2017-07-20,18:00:01,Evening,CBC,Buzz kill? Brian Pallister pushes premiers to delay legalization of pot by 1 year,negative,-0.662332,0.603546,0.06455,0.391388,0.123602,0.004173,0,0,0
35,2017-07-20,18:00:01,Evening,CBC,Finance Minister Bill Morneau proposes tax changes to close loopholes for wealthy,neutral,0.0,0.194673,0.06383,0.107971,0.136226,0.088282,0,0,0
36,2017-07-21,18:00:00,Evening,RT,"Putin & Trump could have met many times at G20, gone to toilet together – Lavrov                                                                    ",neutral,0.0,0.316317,0.114213,0.110669,0.434211,0.186937,1,1,0
37,2017-07-21,18:00:00,Evening,RT,US confirms air strike killed Afghan forces in friendly fire incident                                                                    ,negative,-0.394723,0.245443,0.355424,0.357766,0.187307,0.020165,0,0,0
38,2017-07-21,18:00:00,Evening,RT,Chinese military vessels enter Russia’s Baltic for 1st time as joint drills kick off                                                                    ,neutral,0.0,0.402109,0.26673,0.104371,0.239683,0.115393,0,0,0
39,2017-07-21,18:00:00,Evening,RT,"‘I’ve seen America, it’s lousy’: Duterte vows never to visit US                                                                    ",negative,-0.852865,0.307187,0.114416,0.059744,0.278887,0.105233,0,0,0
40,2017-07-21,18:00:00,Evening,RT,Erdogan tells Germany to ‘pull itself together’ as rift deepens                                                                     ,neutral,0.0,0.140183,0.105806,0.216989,0.024229,0.420414,0,0,0
41,2017-07-21,18:00:00,Evening,WT,"Sean Spicer resigns as White House press secretary, calls Scaramucci hire a mistake",negative,-0.315773,0.287068,0.316251,0.399922,0.157411,0.032668,0,0,0
42,2017-07-21,18:00:00,Evening,WT,"Trump to order major review of defense industrial base, improved military readiness",neutral,0.0,0.360658,0.154995,0.020043,0.095699,0.082008,0,1,0
43,2017-07-21,18:00:00,Evening,WT,Former CBO directors defend agency’s integrity ,neutral,0.0,0.211289,0.043455,0.225408,0.300864,0.128922,0,0,0
44,2017-07-21,18:00:00,Evening,WT,Trump’s legal team making major changes: Reports,neutral,0.0,0.083641,0.065887,0.105373,0.060375,0.110578,0,1,0
45,2017-07-21,18:00:00,Evening,WT,Ted Cruz says Senate is close to passing a health care bill,positive,0.452146,0.409329,0.057421,0.158609,0.235602,0.158298,0,0,0
46,2017-07-21,18:00:00,Evening,WT,Kellyanne Conway: It’s time for Congress to ‘do its job’ on health care,positive,0.696643,0.224614,0.038903,0.107245,0.059624,0.483579,0,0,0
47,2017-07-21,18:00:00,Evening,WT,"Sergey Lavrov suggests there may have been more meetings between Trump, Putin: Report",neutral,0.0,0.125291,0.087039,0.04313,0.021783,0.170024,1,1,0
48,2017-07-21,18:00:00,Evening,WT,Richard Blumenthal: Trump possibly obstructing justice with Mueller case,neutral,0.0,0.457075,0.019085,0.131793,0.078845,0.11107,0,1,0
49,2017-07-21,18:00:00,Evening,WT,FBI relies on discredited dossier in Russia investigation,negative,-0.546289,0.235329,0.104714,0.157561,0.22847,0.073006,0,0,0
50,2017-07-21,18:00:00,Evening,WT,White House says Trump still backs Sessions as attorney general,neutral,0.0,0.373336,0.293143,0.309915,0.102674,0.136073,0,1,0
51,2017-07-21,18:00:00,Evening,WT,Anthony Scaramucci taking White House communications role,neutral,0.0,0.259502,0.087213,0.073509,0.124534,0.078419,0,0,0
52,2017-07-21,18:00:00,Evening,WT,"With longer odds, Senate Republicans forge ahead with Obamacare repeal plans",negative,-0.352135,0.224379,0.055865,0.2863,0.469749,0.040697,0,0,0
53,2017-07-21,18:00:00,Evening,WT,"Senate confirms John Bush, Trump’s 6th Circuit Court pick",neutral,0.0,0.157872,0.199725,0.0578,0.271914,0.087972,0,1,0
54,2017-07-21,18:00:00,Evening,WT,John McCain tweets he’ll ‘be back soon’ to Senate after brain cancer diagnosis ,negative,-0.637716,0.450867,0.375366,0.093305,0.327745,0.051454,0,0,0
55,2017-07-21,18:00:00,Evening,WT,Broadcasters undermine Trump with an ‘Iron Curtain’ of hostile Russia news,negative,-0.640714,0.18063,0.359624,0.211557,0.145857,0.118387,0,1,0
56,2017-07-21,18:00:00,Evening,CBC,'These are our children': Sexual abuse and suicide rate among Indigenous youth,negative,-0.60087,0.666159,0.105401,0.157855,0.302244,0.007464,0,0,0
57,2017-07-21,18:00:00,Evening,CBC,Judicial watchdog finds no problem with judges attending sponsored cocktail parties,neutral,0.0,0.265863,0.05113,0.163771,0.097352,0.340228,0,0,0
58,2017-07-21,18:00:00,Evening,CBC,Trudeau defends his choice for governor general amid revelations about her past,negative,-0.430983,0.29668,0.102646,0.143447,0.288097,0.213951,0,0,1
59,2017-07-21,18:00:00,Evening,CBC,"Watch Power & Politics for July 20, 2017",positive,0.537161,0.340674,0.064217,0.124518,0.148697,0.198403,0,0,0
60,2017-07-21,18:00:00,Evening,CBC,Progressive Conservatives begin voting on proposed unity merger with Wildrose,neutral,0.0,0.154442,0.167875,0.18708,0.294974,0.274371,0,0,0
61,2017-07-21,18:00:00,Evening,CBC,The Pollcast: What the Wildrose-PC merger vote means for Alberta politics,neutral,0.0,0.274745,0.020316,0.231736,0.383589,0.090125,0,0,0
62,2017-07-21,18:00:00,Evening,CBC,"Anger makes people more economically conservative, research suggests",negative,-0.544451,0.20598,0.253195,0.361163,0.225286,0.16026,0,0,0
63,2017-07-21,18:00:00,Evening,CBC,"Supreme Court building to get $1B rehab in 2023, well after systems risk failure",neutral,0.0,0.362541,0.567314,0.038733,0.057308,0.072105,0,0,0
64,2017-07-21,18:00:00,Evening,CBC,Ship that may have sunk admiral's career to be unveiled in Quebec,neutral,0.0,0.258821,0.211206,0.276297,0.149155,0.074223,0,0,0
65,2017-07-21,18:00:00,Evening,CBC,Kelly Knight Craft promises as U.S. ambassador to further Canada relationship,neutral,0.0,0.318507,0.064629,0.042059,0.102993,0.421433,0,0,0
66,2017-07-21,18:00:00,Evening,CBC,"Far-right Quebec group linked to vote against Muslim cemetery, says writer",neutral,0.0,0.138848,0.026485,0.270952,0.470773,0.279438,0,0,0
67,2017-07-21,18:00:00,Evening,CBC,"Andrew Scheer names Lisa Raitt deputy leader, announces 'gender diverse' House leadership team",neutral,0.0,0.04182,0.067621,0.087095,0.155908,0.051563,0,0,0
